Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/SOR3.FAN                                      27    0 sor3                          
SCENES/SOR4.FAN                                      24    - sor4                          
SCENES/SOR5.FAN                                      24    - sor5                          
SCENES/SOR6.FAN                                      24    - sor6                          
SCENES/SOR7.FAN                                       8    - -                             
SCENES/SORCE1.FAN                                    23    - sorce1                        
SCENES/SOR_TOW6.FAN                                  24    - sor_tow6                      
SCENES/SP.FAN                                        24    - sp                            
SCENES/SPI.FAN                                       10    - -                             
SCENES/SPI2.FAN                                      24    - spi2                          
SCENES/SPIDER1.FAN                                   24    - spider1                       
SCENES/SPIDER2.FAN                                   24    - spider2                       
SCENES/SPIDER3.FAN                                    8    - -                             
SCENES/SPIDER30.FAN                                  24    - spider30                      
SCENES/SPIDER5.FAN                                   24    - spider5                       
SCENES/SPIDER6.FAN                                   24    - spider6                       
SCENES/SPMONK10.FAN                                  15    - -                             
SCENES/SPMONK11.FAN                                  15    - -                             
SCENES/SPMONK12.FAN                                  15    - -                             
SCENES/SP_MK8.FAN                                    25    - sp_mk8                        
SCENES/SP_MONK.FAN                                   15    - -                             
SCENES/SP_MONK8.FAN                                  24    - sp_monk8                      
SCENES/SP_MONK9.FAN                                  15    - -                             
SCENES/STABLE.FAN                                     8    - -                             
SCENES/STABLE1.FAN                                    8    - -                             
SCENES/STABLE2.FAN                                   24    - stable2                       
SCENES/STABLE3.FAN                                   24    - stable3                       
SCENES/STABLE4.FAN                                   23    - stable4                       
SCENES/STAND.FAN                                      9    - -                             
SCENES/STAND2.FAN                                     9    - -                             
SCENES/START.FAN                                     24    - start                         
SCENES/START1.FAN                                    11    - -                             
SCENES/START_FL.FAN                                  24    - start_fl                      
SCENES/START_S.FAN                                   20    - -                             
SCENES/START_S2.FAN                                  24    - Start_s2                      
SCENES/START_SC.FAN                                  24    - Start_scene                   
SCENES/STOP.FAN                                      24    - stop                          
SCENES/STOPHERE.FAN                                  24    - stophere                      
SCENES/STOP_SP.FAN                                   27    0 stop_sp                       
SCENES/SUPPORT.FAN                                    9    - -                             
SCENES/SWAPPY.FAN                                    26    0 swappy                        
SCENES/TABLE1.FAN                                     7    - -                             
SCENES/TAKE_BAL.FAN                                  10    - -                             
SCENES/TAO1.FAN                                      25    - tao1                          
SCENES/TAO2.FAN                                      14    - -                             
SCENES/TEDDY.FAN                                     27    0 teddy                         
SCENES/TEMP.FAN                                      27    0 monk_pray1                    
SCENES/TESTERS.FAN                                   27    0 testers                       
SCENES/THEARM.FAN                                    27    0 thearm                        
SCENES/THEARM3.FAN                                   27    0 thearm3                       
SCENES/THEBAR.FAN                                    10    - -                             
SCENES/THEBAR2.FAN                                   24    - thebar2                       
SCENES/THEBIRD.FAN                                   24    - thebird                       
SCENES/THEEND.FAN                                    27    0 theend                        
SCENES/THE_WAR.FAN                                   24    - the_war                       
SCENES/THE_WAR2.FAN                                  24    - the_war2                      
SCENES/THREE1.FAN                                    10    - -                             
SCENES/THREE10.FAN                                   24    - three10                       
SCENES/THREE2.FAN                                    24    - three2                        
SCENES/THREE20.FAN                                   10    - -                             
SCENES/THREE21.FAN                                   25    - three21                       
SCENES/THREE22.FAN                                   25    - three22                       
SCENES/THREE23.FAN                                   25    - three23                       
SCENES/THREE24.FAN                                   24    - three24                       
SCENES/THREE25.FAN                                   24    - three25                       
SCENES/THREE26.FAN                                   24    - three26                       
SCENES/THREE3.FAN                                    25    - three3                        
SCENES/THREE5.FAN                                    24    - three5                        
SCENES/THREE6.FAN                                    10    - -                             
SCENES/THREE7.FAN                                    24    - three7                        
